and, 9, 6,04%
his, 7, 4,70%
of, 7, 4,70%
the, 7, 4,70%
a, 6, 4,03%
pushkin, 4, 2,68%
is, 4, 2,68%
he, 4, 2,68%
in, 3, 2,01%
russian, 2, 1,34%
wrote, 2, 1,34%
poems, 2, 1,34%
works, 2, 1,34%
literature, 2, 1,34%
writing, 2, 1,34%
on, 2, 1,34%
famous, 2, 1,34%
was, 2, 1,34%
readers, 2, 1,34%
through, 1, 0,67%
onegin, 1, 0,67%
injustice, 1, 0,67%
spoke, 1, 0,67%
considered, 1, 0,67%
fought, 1, 0,67%
horseman, 1, 0,67%
about, 1, 0,67%
issues, 1, 0,67%
that, 1, 0,67%
continue, 1, 0,67%
celebrated, 1, 0,67%
from, 1, 0,67%
verse, 1, 0,67%
adventures, 1, 0,67%
lives, 1, 0,67%
aleksandr, 1, 0,67%
impact, 1, 0,67%
touch, 1, 0,67%
significant, 1, 0,67%
it, 1, 0,67%
history, 1, 0,67%
bronze, 1, 0,67%
as, 1, 0,67%
at, 1, 0,67%
tragically, 1, 0,67%
left, 1, 0,67%
unique, 1, 0,67%
style, 1, 0,67%
who, 1, 0,67%
eugene, 1, 0,67%
however, 1, 0,67%
love, 1, 0,67%
politics, 1, 0,67%
some, 1, 0,67%
legacy, 1, 0,67%
young, 1, 0,67%
against, 1, 0,67%
prophet, 1, 0,67%
for, 1, 0,67%
hero, 1, 0,67%
died, 1, 0,67%
around, 1, 0,67%
out, 1, 0,67%
captivate, 1, 0,67%
world, 1, 0,67%
modern, 1, 0,67%
freedom, 1, 0,67%
romantic, 1, 0,67%
duel, 1, 0,67%
talented, 1, 0,67%
hearts, 1, 0,67%
national, 1, 0,67%
lyrical, 1, 0,67%
poet, 1, 0,67%
man, 1, 0,67%
apart, 1, 0,67%
include, 1, 0,67%
writings, 1, 0,67%
37, 1, 0,67%
social, 1, 0,67%
nature, 1, 0,67%
founder, 1, 0,67%
one, 1, 0,67%
filled, 1, 0,67%
many, 1, 0,67%
tells, 1, 0,67%
with, 1, 0,67%
emotion, 1, 0,67%
s, 1, 0,67%
speech, 1, 0,67%
inspire, 1, 0,67%
to, 1, 0,67%
writer, 1, 0,67%
interested, 1, 0,67%
age, 1, 0,67%
novel, 1, 0,67%
story, 1, 0,67%
